game,axis,parameter,beta,rho,h,epsilon,start_id,x0,y0,horizon,cumulative_avg_gradient_l1,instantaneous_gradient_l1,interaction_ratio
interaction_dominated,beta,0.0,0.0,0.9,0.0005,0.05,5,-0.8,0.2,1000,2.3903419810177935,1.9063181697674971,3.0
interaction_dominated,beta,0.0,0.0,0.9,0.0005,0.05,5,-0.8,0.2,3000,1.5031269289332068,0.3587939556426495,3.0
interaction_dominated,beta,0.0,0.0,0.9,0.0005,0.05,5,-0.8,0.2,10000,0.4680732811446337,6.972118109096021e-08,3.0
interaction_dominated,beta,0.0,0.0,0.9,0.0005,0.05,6,0.2,-0.8,1000,3.089120781449876,2.5495998608646584,3.0
interaction_dominated,beta,0.0,0.0,0.9,0.0005,0.05,6,0.2,-0.8,3000,2.188637462572771,0.9094149886396352,3.0
interaction_dominated,beta,0.0,0.0,0.9,0.0005,0.05,6,0.2,-0.8,10000,0.7214568179979355,5.017933541100739e-07,3.0
interaction_dominated,beta,0.0,0.0,0.9,0.0005,0.05,7,-0.2,-0.8,1000,2.3903419810177935,1.9063181697674971,3.0
interaction_dominated,beta,0.0,0.0,0.9,0.0005,0.05,7,-0.2,-0.8,3000,1.5031269289332068,0.3587939556426495,3.0
interaction_dominated,beta,0.0,0.0,0.9,0.0005,0.05,7,-0.2,-0.8,10000,0.4680732811446337,6.972118109096021e-08,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,0,0.5,0.5,1000,2.5202961858005217,2.1527040316316053,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,0,0.5,0.5,3000,1.6739507497218125,0.4675886673828137,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,0,0.5,0.5,10000,0.5284840957323308,1.1944000991276746e-07,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,1,-0.5,0.5,1000,2.5202961858005217,2.1527040316316053,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,1,-0.5,0.5,3000,1.6739507497218125,0.4675886673828137,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,1,-0.5,0.5,10000,0.5284840957323308,1.1944000991276746e-07,3.0
